ANN_TRT;ETA_NUM;ETB_EXE_FIN;REG_ETA;SOC_RAI;STA_ETA;VAL_ETA
HlzSxxTTHnjn;lsEKQHTWROsvyB;;pgKjZeGnQqR;aiMaGMfWqKKBNTaRc;USjabHzdJdIN;EzUnkLluYEQJInRNdiwF
dPyRMqaCMg;jZaYmuxt;vRwnOzukLotHbJTtkP;IfhTuucEVv;xuxHXHkLftCsN;fgpDdiZJVLL;OlFwRsnVempOI
YGUahkszzekurXpJE;FG;xTDeSMDJQIjhrXXCvbNP;SkKQLrETBLU;OEHsRfq;Ky;nSB
RL;sMkGpgxpRRlh;peBjcYOpAdysE;ENVjxcYIGHWxeqryv;zEDEAvDrpkQFm;OlzZvnjRWjPQoLlrvh;jIFaFafvRddWCMVkaq
EnNRtzNf;IhlcKVHiIEhz;ZHO;eONQaOverOkUUmDyh;;;O
xIGwRRWtJcNfbtBecn;ul;yFMJeHxaKr;RBZPi;mJru;rxJXIMKUCxYStSQHu;IjjIucfQaZnFYFvvRosp
WqPuLKBiKti;NnY;efSv;YJlvsPTSNhxKfk;rp;jCWmp;LxhAiOSvPDYBLobcRGMH
TiXwhmmkxz;dkUwNJhqvtveIJXpGHR;ZqU;jyWaCDMVaCZiKMoLs;eXAxRbLZMrA;kBpZRELBDkGiVaFVm;xIYKL
iEaeDCoDRrosewsgU;aOziSwNGcDyX;opSRIYVFyjsiWO;MyWanSWRaR;mMyPGAQTnegkt;ZUoIqUhmoBsA;iSHFuj
JNhqFCzWL;WaGNobCmTc;qKn;Ex;yUFJWQyzZYcazRgkduI;DDkJu;JTmJAQswoOwuzepIfB
